text,k
Model S on its way out! #TeslaDeliveries http://t.co/0SVws0gi,1.009941290096649
Your next charging session is going to be SO 👏 MUCH 👏 FUN 👏 https://t.co/5YzSL36kCC,1.0
Pit crew sold separately. Visit our stores for more details: https://t.co/3y0mR3TwV9,1.0
Beach Buggy Racing 2 by @vectorunit is starting to roll out to Tesla cars today,0.9957658488782287
"Converting petrolheads, one Supercharger at a time. https://t.co/JnV9roNn8E",0.9897429267860709
"Model 3 never felt so ""right""",1.0
Model 3 right hand drive deliveries are underway in the UK 🇬🇧,1.0200876358068303
"Wish granted 💫. New Sketchpad features are rolling out in our next software update. 

What will you draw? 🎨",1.0
K thx bye 👋 https://t.co/7l1BAybNcc,1.029092119756646
"Our quarterly delivery numbers are in – 95,200 vehicles and six puppies delivered in Q2: https://t.co/2BTv4bFyLj",1.0459818397852996
"🥁🥁🥁   🥁🥁🥁   🥁🥁🥁  please:

We are excited to announce that Model 3 just earned a 5-star safety rating from @EuroNCAP ⭐️⭐️⭐️⭐️⭐️  https://t.co/2oSQz4yaBB",1.0
This was made possible thanks to our exceptionally talented team of engineers 🧠🔧🚘🏆💪,1.0
"Now, show of hands 🙋🏻‍♀️🙋🏾‍♂️, who wants one?",0.9860422809354554
🇺🇸,0.9869780232788545
90-year-old Henk from the Netherlands proves it's never too late to embrace new technology AND buy your dream car. https://t.co/9Dpvi4UEVY,1.0
"If you want to beat the record and win useless internet points, all you have to do is peer-pressure all your elderly relatives into buying a Tesla.",1.0
"(but obviously make sure they're still safe to drive, and also obviously don't actually peer-pressure your elderly relatives into anything you monsters, obviously)",0.9944754637904537
"Model 3 is not just Premium Electric Car of the Year but also THE

👑2019 Car of the Year 👑",1.0
We want to live in a world where you can play in parks while you charge your car on your epic roadtrip,1.0
oh wait we already do,1.0
"RT @Made it to California!!! 🔥🔥 Few more hours left. 🙌🏼 

Definitely coolest @Tesla charging station so far. 😱 https://t.co/ZFd8eh9oYI",1.0305862638360221
"“The present is theirs; the future, for which I really worked, is mine.”

Happy Birthday Nikola Tesla! https://t.co/1wU9s5eXx2",1.0
